iso3,country,year,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial,fdi_pct_gdp,fdi_usd,cici_score,cici_rank
SAU,Saudi Arabia,2000,47.9165402354194,58.67032054741275,33.010532372247724,84.22806833360065,57.92966611294886,43.7156408647829,19.828344562574785,-0.9925690992161,-1881066666.66666,48.77,8
SAU,Saudi Arabia,2001,48.14430428901919,55.32080037110192,30.24690454195261,77.75271685489781,50.0,28.78515413774117,19.828344562574785,0.0106659367777141,19640000.0,45.07,10
SAU,Saudi Arabia,2002,48.37206834261898,54.230033270081755,30.866257153757076,76.02086508547822,56.316657062642435,28.06708580716074,19.828344562574785,-0.323899963714203,-614133333.333333,46.07,9
SAU,Saudi Arabia,2003,48.14016684453431,60.96740217796556,34.009404826030995,80.49686255690705,57.455324045187865,27.912172588634505,19.828344562574785,-0.271772775519938,-586506666.666666,48.07,9
SAU,Saudi Arabia,2004,45.2286850651351,61.55827927307531,37.16052840180772,84.99315676247926,49.31466367461021,46.671767854467745,19.828344562574785,-0.129209725410009,-334320000.0,48.22,9
SAU,Saudi Arabia,2005,47.203875130621846,60.8552399323549,41.28343422187929,90.0553899331376,53.09286782288492,28.22017651723373,19.828344562574785,1.33515850333851,4385456396.44642,51.03,8
SAU,Saudi Arabia,2006,48.584521078841014,59.31369688163985,46.077940142658385,90.71571825207836,51.52014772653604,28.74323644331643,19.828344562574785,1.58553602335569,5975887388.89812,52.6,7
SAU,Saudi Arabia,2007,50.000695840575155,58.54702808708456,49.02928373945461,88.88388235146486,52.01809183594208,29.293633996197883,19.828344562574785,1.48457884530209,6175321114.57165,53.54,7
SAU,Saudi Arabia,2008,52.67464395833696,61.535757720270944,49.772901269671074,94.13981899547214,53.776099619173785,30.179373104477296,19.828344562574785,1.05925699592349,5505983968.58641,55.62,7
SAU,Saudi Arabia,2009,49.44150308565525,55.76366727888678,43.0260621727827,78.69601212067315,50.63460753180465,30.994034383079978,19.828344562574785,0.10169038708409,436351281.582906,49.55,8
SAU,Saudi Arabia,2010,54.110315673283566,61.588129433645555,41.64081373495688,81.19145769238068,54.284767436499784,34.35473997087267,17.858572549730717,0.923670092367435,4878894395.25169,51.12,7
SAU,Saudi Arabia,2011,52.243799213632144,68.1005750253366,42.72670600100234,90.27256049408224,52.36189239510349,37.89769640399034,13.284166617500798,0.688133631504519,4683855881.26771,52.05,7
SAU,Saudi Arabia,2012,50.77567225263334,65.28977643453764,41.15539074604265,88.90645809545856,51.61768627558721,41.58827602182126,13.249478012762728,0.669626013751334,5035060850.94588,50.93,7
SAU,Saudi Arabia,2013,50.014970980951205,62.8807601901736,40.26184931182039,86.52408356017872,51.06085097358177,68.08518042512227,16.20443408189335,0.437984195574321,3371408456.52722,50.81,7
SAU,Saudi Arabia,2014,50.12558538522689,63.87023291394356,38.91096196348708,83.16084064849537,54.166085183948375,47.08131649991625,16.38048191742604,0.191711517264834,1509063087.30334,49.96,7
SAU,Saudi Arabia,2015,52.41552915406431,62.711370355130974,32.373799572486845,69.937993082357,52.75562300442878,49.52347782727103,16.2061980792282,0.572622097928938,3970644084.62136,45.86,9
