rank_stable,iso3,mean_score,ci_lower_95,ci_upper_95,std_score,median_rank,top5_pct,country
1,ARE,88.42,86.77,90.0,0.83,1,100.0,UAE
2,QAT,77.09,74.37,79.82,1.42,2,100.0,Qatar
3,BHR,73.59,71.18,75.88,1.21,3,100.0,Bahrain
4,OMN,67.67,65.33,69.95,1.2,4,100.0,Oman
5,KWT,64.79,62.46,67.16,1.23,5,100.0,Kuwait
6,SAU,61.58,58.12,64.95,1.78,6,0.0,Saudi Arabia
7,JOR,61.12,58.74,63.54,1.28,7,0.0,Jordan
8,ISR,60.19,55.99,64.24,2.1,8,0.0,Israel
9,MAR,59.41,57.15,61.83,1.27,9,0.0,Morocco
10,TUN,57.46,55.17,59.86,1.3,10,0.0,Tunisia
11,LBN,52.52,49.21,55.84,1.76,11,0.0,Lebanon
12,LBY,47.55,43.97,51.05,1.85,12,0.0,Libya
13,EGY,45.44,41.56,49.52,2.05,13,0.0,Egypt
14,DZA,44.5,40.74,48.27,1.97,14,0.0,Algeria
15,IRQ,42.57,39.21,46.11,1.88,15,0.0,Iraq
16,IRN,41.51,37.89,45.43,2.0,16,0.0,Iran
17,YEM,32.77,29.13,36.58,1.93,17,0.0,Yemen
18,SYR,31.61,27.47,36.1,2.21,18,0.0,Syria
19,SDN,22.74,19.3,26.46,1.81,19,0.0,Sudan
